ID	X	Y	ALT	BETA
187	30500	202500	0.0	0.4245
188	30500	201500	4.3	0.5094
189	30500	200500	8.4	0.5621
190	30500	199500	8.0	0.5871
191	30500	198500	3.7	0.641
192	30500	197500	1.1	0.6779
193	30500	196500	0.8	0.6619
194	30500	195500	0.3	0.6508
195	30500	194500	0.5	0.5974
196	30500	193500	0.3	0.5488
197	30500	192500	0.4	0.5563
198	30500	191500	0.2	0.5507
199	30500	190500	0.8	0.5421
200	30500	189500	5.0	0.5411
201	30500	188500	8.1	0.536
202	30500	187500	7.7	0.5292
203	30500	186500	8.7	0.5419
204	30500	185500	8.5	0.5532
205	30500	184500	11.8	0.5421
206	30500	183500	12.6	0.5431
207	30500	182500	10.0	0.5428
208	30500	181500	7.8	0.5405
209	30500	180500	2.2	0.5459
210	30500	179500	2.3	0.546
211	30500	178500	4.8	0.5377
212	30500	177500	7.0	0.5333
213	30500	176500	10.5	0.5427
214	30500	175500	13.9	0.5411
215	30500	174500	18.2	0.5481
216	30500	173500	24.1	0.5506
217	30500	172500	23.0	0.5408
218	30500	171500	26.1	0.552
219	30500	170500	26.4	0.5532
220	30500	169500	28.8	0.5618
221	30500	168500	38.9	0.5811
222	31500	204500	0.0	0.1836
223	31500	203500	0.0	0.3057
224	31500	202500	0.4	0.4363
225	31500	201500	6.6	0.5244
226	31500	200500	7.4	0.5651
227	31500	199500	5.0	0.5914
228	31500	198500	1.1	0.6453
229	31500	197500	0.9	0.6733
230	31500	196500	1.4	0.6516
231	31500	195500	2.0	0.6474
232	31500	194500	0.2	0.5811
233	31500	193500	0.4	0.5402
234	31500	192500	0.4	0.5582
235	31500	191500	0.7	0.5497
236	31500	190500	1.1	0.5468
237	31500	189500	4.7	0.541
238	31500	188500	7.5	0.5341
239	31500	187500	7.9	0.533
240	31500	186500	9.4	0.5458
241	31500	185500	10.1	0.5558
242	31500	184500	11.0	0.5381
243	31500	183500	10.1	0.5426
244	31500	182500	7.5	0.5365
245	31500	181500	4.4	0.5369
246	31500	180500	1.3	0.55
247	31500	179500	2.5	0.5434
248	31500	178500	5.1	0.5318
249	31500	177500	7.3	0.5254
250	31500	176500	11.1	0.5373
251	31500	175500	12.9	0.5356
252	31500	174500	17.1	0.5518
253	31500	173500	26.3	0.5578
254	31500	172500	28.9	0.5457
255	31500	171500	32.9	0.5558
