ID	LAMBX	LAMBY	ALT	beta_pm10
156	199511	50777	395.7	0.062
157	211769	53003	325.2	0.2785
158	208756	53208	328.9	0.0941
159	205743	53415	287.1	0.1941
160	202731	53621	298.3	0.1334
161	199719	53828	296.2	0.2095
162	211976	56051	349.1	0.0604
163	208963	56259	346.7	0.3458
164	205951	56464	343.1	0.2048
165	202941	56671	365.8	0.2627
166	199927	56875	344.8	0.3011
167	210085	28597	272.3	0.4509
168	207075	28802	289.2	0.1335
169	204064	29010	208.3	0.4323
170	201054	29214	213.4	0.3615
171	198042	29420	232.9	0.3316
172	210296	31649	192.9	0.4893
173	207285	31856	259.6	0.4926
174	204274	32060	272.3	0.571
175	201263	32267	176.8	0.6005
176	198252	32472	186.6	0.4956
177	210511	34701	194.5	0.5827
178	207497	34906	169.0	0.6011
179	204488	35113	194.8	0.4926
180	201475	35319	249.1	0.5367
181	198463	35523	168.7	0.5988
182	210720	37751	210.9	0.5562
183	207706	37959	188.8	0.586
184	204695	38164	165.8	0.5705
185	201682	38369	190.4	0.5256
186	198671	38576	161.2	0.5752
187	210928	40804	242.9	0.3175
188	207915	41010	215.7	0.4912
189	204902	41217	201.8	0.5378
190	201890	41422	186.2	0.4655
191	198879	41628	192.5	0.5213
192	227254	58069	443.3	0.4824
193	224243	58276	406.5	0.5333
194	221232	58482	398.2	0.4405
195	218218	58691	397.1	0.5643
196	215202	58897	416.5	0.4808
197	227469	61122	428.9	0.5827
198	224455	61330	428.6	0.5424
199	221443	61537	413.5	0.3921
200	218429	61743	443.2	0.2957
201	215415	61951	435.8	0.4408
202	227684	64175	470.3	0.4409
203	224671	64383	464.5	0.4385
204	221657	64590	452.2	0.3981
205	218642	64798	472.0	0.2437
206	215626	65004	469.6	0.0377
207	227893	67231	502.4	0.4805
208	224878	67437	499.2	0.5369
209	221864	67645	483.8	0.6439
210	218849	67851	478.1	0.2576
211	215835	68059	445.1	0.4331
212	228104	70284	492.8	0.4558
213	225088	70491	518.2	0.2037
214	222074	70699	523.7	0.0284
215	219060	70906	463.7	0.0384
216	216046	71113	478.0	0.1336
217	226198	42820	335.1	0.5999
218	223187	43027	333.4	0.5738
219	220175	43234	331.5	0.5838
220	217161	43442	336.1	0.4761
221	214148	43648	327.3	0.3619
222	226411	45870	359.1	0.2789
223	223397	46076	352.8	0.2474
224	220385	46284	341.7	0.4367
225	217371	46490	334.0	0.2765
226	214360	46698	317.5	0.3587
227	226626	48918	409.6	0.0312
228	223611	49126	395.0	0.1091
229	220600	49332	392.0	0.0259
230	217589	49540	402.6	0
231	214576	49747	360.3	0.0477
232	226834	51967	416.1	0.0399
233	223821	52175	383.6	0.1795
234	220810	52383	405.2	0.0673
235	217797	52589	418.8	0.0068
236	214784	52795	383.0	0.0279
237	227042	55017	421.7	0.2183
238	224032	55224	409.5	0.2748
239	221020	55431	385.1	0.4714
240	218005	55639	414.8	0.3611
241	214991	55846	393.0	0.0106
242	225140	27563	256.9	0.5216
243	222129	27770	236.7	0.5192
244	219117	27977	312.2	0.2934
245	216105	28185	281.7	0.468
246	213094	28391	201.0	0.5864
247	225352	30614	259.6	0.3649
248	222341	30822	257.6	0.4374
249	219330	31029	262.3	0.5324
250	216318	31236	203.7	0.5676
251	213307	31442	177.6	0.5748
252	225568	33666	273.6	0.4054
253	222557	33873	263.2	0.3347
254	219544	34081	222.7	0.4789
255	216533	34286	219.4	0.536
256	213524	34494	228.9	0.4866
257	225778	36718	300.7	0.0394
258	222766	36924	289.5	0.0606
259	219752	37133	258.3	0.132
260	216741	37339	269.3	0.4438
261	213733	37546	253.0	0.5769
262	225986	39769	354.4	0.117
263	222976	39977	325.5	0.0956
264	219963	40183	324.3	0.1325
265	216950	40391	324.9	0.2081
266	213940	40597	286.9	0.145
267	243390	72295	497.2	0.5324
268	240378	72503	503.5	0.4535
269	237361	72712	492.5	0.521
270	234346	72920	505.2	0.2068
271	242325	57027	488.7	0
272	239310	57237	481.2	0
273	236298	57445	458.5	0.2792
274	233284	57652	451.5	0.3409
275	230269	57861	456.4	0.5635
276	242540	60080	451.0	0.2422
277	239523	60290	470.0	0.3317
278	236510	60498	479.7	0.3979
279	233498	60706	477.0	0.5213
280	230485	60914	466.8	0.4775
281	242753	63135	444.2	0.3749
282	239737	63343	440.2	0.5093
283	236724	63552	453.1	0.5413
284	233713	63759	469.5	0.4629
285	230699	63969	469.1	0.4781
286	242964	66187	458.7	0.4283
287	239950	66397	453.2	0.4164
288	236936	66606	452.6	0.566
289	233921	66815	481.2	0.5299
290	230906	67021	517.9	0.253
291	243175	69242	479.2	0.512
292	240163	69451	465.2	0.5093
293	237147	69659	488.5	0.5097
294	234130	69867	519.2	0.0971
295	231118	70076	496.1	0.5038
296	241261	41779	346.5	0.5473
297	238249	41987	342.1	0.5207
298	235234	42195	337.4	0.5161
299	232222	42405	341.9	0.5129
300	229210	42611	350.0	0.4856
301	241473	44828	368.2	0.5025
302	238463	45036	360.1	0.5814
303	235449	45245	352.2	0.5901
304	232436	45453	349.9	0.5195
305	229424	45661	348.3	0.4342
306	241687	47878	411.3	0.3337
307	238677	48085	402.1	0.284
308	235665	48294	410.1	0.1209
309	232651	48502	413.4	0.0419
310	229640	48710	419.4	0.0011
311	241895	50927	456.2	0.1316
312	238884	51136	444.5	0.2183
313	235874	51343	442.5	0.2302
314	232862	51552	419.5	0.2553
315	229849	51761	431.7	0.1995
316	242108	53976	459.2	0.3528
317	239096	54185	447.9	0.3119
318	236088	54393	446.1	0.4183
319	233074	54602	417.4	0.4723
320	230057	54809	426.4	0.4539
321	240196	26522	244.2	0.5317
322	237185	26731	267.5	0.5378
323	234173	26939	244.6	0.5037
324	231160	27147	228.9	0.6009
325	228150	27355	280.2	0.434
326	240410	29574	267.8	0.4755
327	237398	29782	245.4	0.4996
328	234385	29991	246.6	0.4978
329	231372	30199	248.4	0.5024
330	228361	30407	271.1	0.4316
331	240626	32625	280.5	0.0956
332	237612	32834	289.7	0.1275
333	234602	33041	307.0	0.0668
334	231591	33250	279.6	0.251
335	228578	33458	297.5	0.3365
336	240837	35677	325.9	0.0125
337	237823	35885	332.8	0.0433
338	234812	36095	337.6	0.0623
339	231802	36302	328.8	0.0526
340	228789	36509	327.8	0.0798
341	241049	38728	352.0	0.0941
342	238037	38937	347.5	0.3128
343	235022	39146	352.1	0.1892
344	232010	39353	361.6	0.3329
345	228999	39562	352.7	0.2993
346	239134	11254	268.1	0.1733
347	236125	11462	248.0	0.4206
348	233112	11671	232.3	0.4926
349	230101	11880	255.5	0.3069
350	227093	12087	230.0	0.3966
351	239345	14308	264.6	0.5046
352	236336	14517	267.4	0.3031
353	233325	14724	268.9	0.3919
354	230314	14933	234.5	0.4548
355	227304	15141	255.6	0.4083
356	239559	17362	291.1	0.3145
357	236549	17571	275.5	0.352
358	233537	17779	274.2	0.3157
359	230529	17986	251.5	0.3432
360	227520	18195	275.6	0.3751
361	239772	20416	357.2	0.3173
362	236762	20623	329.9	0.179
363	233750	20833	279.7	0.2541
364	230741	21041	248.4	0.3884
365	227732	21248	248.4	0.288
366	239985	23469	352.6	0.3178
367	236975	23678	362.7	0.3281
368	233964	23886	346.8	0.107
369	230952	24095	257.0	0.4289
370	227941	24302	239.2	0.4777
371	258461	71247	465.3	0.2297
372	255446	71458	434.7	0.1633
373	252433	71667	475.3	0.4791
374	249420	71876	491.9	0.326
375	246404	72086	497.7	0.3953
376	257389	55981	415.7	0.4624
377	254376	56190	456.5	0.3641
378	251362	56400	448.2	0.3624
379	248350	56609	466.8	0.1242
380	245339	56818	483.1	0
381	257605	59034	477.6	0.4553
382	254591	59244	484.2	0.2638
383	251578	59453	477.8	0.3766
384	248564	59664	418.4	0.3705
385	245552	59872	423.9	0.2807
386	257821	62088	473.4	0.2915
387	254805	62297	421.6	0.3719
388	251793	62507	420.5	0.2833
389	248780	62716	427.7	0.2663
390	245768	62926	441.5	0.3362
391	258034	65141	423.9	0.1714
392	255017	65352	413.0	0.366
393	252003	65561	414.3	0.4661
394	248992	65771	436.0	0.2282
395	245979	65979	449.1	0.4356
396	258247	68195	386.2	0.3377
397	255230	68404	402.9	0.1956
398	252216	68615	446.6	0.3446
399	249203	68824	443.7	0.3605
400	246188	69033	473.7	0.398
401	256319	40733	360.8	0.5146
402	253309	40943	399.5	0.4933
403	250298	41152	384.5	0.238
404	247285	41360	370.3	0.224
405	244271	41570	350.2	0.5417
406	256535	43782	366.4	0.3627
407	253523	43991	386.0	0.5788
408	250510	44201	386.2	0.5408
409	247498	44411	364.1	0.5562
410	244485	44619	373.4	0.5426
411	256749	46830	337.3	0.4204
412	253738	47041	349.2	0.3915
413	250726	47250	345.6	0.4158
414	247712	47459	351.0	0.48
415	244699	47668	414.1	0.0959
416	256961	49880	296.6	0.4518
417	253950	50090	311.5	0.4934
418	250936	50299	337.4	0.4776
419	247922	50509	408.6	0.3039
420	244909	50718	452.9	0
421	257173	52929	323.4	0.4834
422	254162	53139	368.9	0.378
423	251148	53348	415.3	0.192
424	248135	53558	460.0	0.0576
425	245123	53767	462.5	0
426	255248	25477	329.2	0.534
427	252236	25687	314.0	0.6301
428	249227	25895	378.2	0.2161
429	246216	26105	320.1	0.3881
430	243205	26314	284.2	0.4702
431	255467	28527	279.4	0.7868
432	252452	28738	291.3	0.6022
433	249440	28947	283.8	0.5485
434	246432	29155	265.3	0.5454
435	243421	29365	264.3	0.5397
436	255685	31579	307.7	0.5366
437	252670	31788	334.6	0.4196
438	249657	31998	322.8	0.45
439	246648	32208	308.8	0.3468
440	243638	32416	280.5	0.4481
441	255895	34630	333.9	0.4756
442	252883	34840	309.1	0.5421
443	249870	35051	354.0	0.3799
444	246859	35259	361.5	0.3564
445	243849	35469	315.3	0.1566
446	256105	37682	339.4	0.5552
447	253096	37891	340.0	0.4858
448	250085	38101	361.5	0.2747
449	247072	38311	362.4	0
450	244059	38519	351.4	0.1925
451	271380	39680	334.4	0.4254
452	268369	39891	314.5	0.4975
453	265356	40102	323.6	0.5202
454	262345	40312	320.4	0.4507
455	259333	40522	331.8	0.284
456	271595	42730	353.4	0.4145
457	268584	42940	321.0	0.3777
458	265573	43150	329.8	0.172
459	262560	43361	331.0	0.2425
460	259548	43572	339.6	0.2502
461	271814	45778	317.8	0.0945
462	268801	45989	338.6	0.4641
463	265788	46200	338.1	0.3885
464	262774	46410	309.9	0.3913
465	259761	46620	344.6	0.3198
466	272025	48827	314.6	0.2289
467	269013	49038	311.7	0.522
468	266000	49248	287.4	0.556
469	262987	49460	284.0	0.5537
470	259972	49670	284.4	0.5535
471	272238	51877	271.6	0.5558
472	269227	52087	283.9	0.5988
473	266217	52299	276.3	0.5568
474	263204	52508	281.9	0.5068
475	260188	52720	304.9	0.574
476	270302	24425	286.8	0.6932
477	267291	24635	291.5	0.6467
478	264281	24847	325.1	0.7136
479	261270	25056	315.3	0.8299
480	258259	25266	387.0	0.2985
481	270518	27476	317.9	0.4613
482	267507	27687	308.9	0.5497
483	264495	27897	318.9	0.5312
484	261484	28107	291.4	0.6052
485	258476	28318	302.1	0.6138
486	270737	30527	323.4	0
487	267724	30738	330.0	0.5291
488	264713	30949	342.9	0.5313
489	261703	31159	326.8	0.5696
490	258694	31369	342.3	0.4085
491	270950	33579	296.0	0.5782
492	267939	33789	326.6	0.4213
493	264929	34000	339.1	0.5224
494	261917	34211	364.1	0.4755
495	258905	34421	343.0	0.4531
496	271165	36630	317.8	0.5547
497	268153	36842	309.3	0.5327
498	265142	37052	322.1	0.5274
499	262130	37261	321.2	0.5161
500	259117	37473	327.7	0.4881
501	108729	96722	146.7	0.4238
502	105715	96920	168.5	0.0118
503	102697	97117	167.6	0.0402
504	99678	97317	155.1	0.2846
505	96663	97514	135.1	0.5342
506	108931	99773	144.5	0
507	105913	99972	168.0	0
508	102898	100170	165.7	0.0085
509	99880	100368	144.9	0.5453
510	96862	100567	126.3	0.6471
511	138889	94725	249.6	0.4594
512	135875	94925	228.9	0.5814
513	132861	95125	223.7	0.5045
514	129847	95325	206.0	0.5804
515	126831	95526	196.7	0.5388
516	139094	97777	235.8	0.4419
517	136079	97977	214.3	0.5579
518	133066	98177	215.8	0.2869
519	130051	98378	203.0	0.3412
520	127033	98578	180.9	0.4347
521	139299	100827	199.6	0.5227
522	136283	101031	210.5	0.513
523	133268	101228	211.3	0.2077
524	137872	79464	269.1	0.2285
525	134858	79664	247.6	0.5421
526	131842	79866	247.2	0.3781
527	128827	80065	227.0	0.4028
528	125812	80265	199.6	0.5652
529	138076	82516	222.5	0.5787
530	135061	82717	214.5	0.5516
531	132045	82916	221.8	0.4667
532	129031	83117	197.1	0.5455
533	126017	83317	193.0	0.1499
534	138281	85568	199.2	0.3728
535	135264	85768	203.5	0.0157
536	132248	85970	207.6	0
537	129232	86170	204.9	0.0099
538	126218	86369	213.3	0.4664
539	138484	88619	213.5	0.4289
540	135468	88822	202.2	0.3004
541	132452	89021	202.6	0.1851
542	129436	89221	191.3	0.4342
543	126421	89422	183.2	0.5304
544	138685	91673	233.3	0.3372
545	135671	91872	231.8	0.1706
546	132655	92074	224.3	0.2743
547	129640	92274	222.0	0.3274
548	126625	92474	205.1	0.4445
549	137462	73356	269.4	0.3778
550	134447	73557	255.8	0.1608
551	131433	73758	236.6	0.3284
552	128417	73959	225.9	0.2591
553	125402	74157	226.0	0.4788
554	137665	76411	281.7	0.3324
555	134650	76612	259.9	0.4812
556	131634	76812	243.3	0.4367
557	128617	77012	227.4	0.3485
558	125602	77213	202.9	0.5425
559	153973	93717	262.7	0.284
560	150958	93919	266.7	0.3979
561	147944	94120	250.4	0.5557
562	144924	94322	240.6	0.4679
563	141905	94524	251.7	0.1323
564	154180	96769	240.1	0.5087
565	151164	96971	244.8	0.2821
566	148148	97173	257.9	0.3457
567	145131	97373	235.5	0.3983
568	142113	97575	216.8	0.5213
569	154383	99821	250.2	0.3269
570	151365	100023	228.6	0.2643
571	148349	100224	242.1	0.4518
572	145334	100427	232.5	0.5295
573	142316	100628	202.2	0.5403
574	152946	78458	306.2	0.2498
575	149932	78659	294.7	0.3702
576	146917	78860	279.5	0.4452
577	143900	79062	283.7	0.2836
578	140885	79263	276.0	0.3921
579	153152	81509	240.6	0.5195
580	150136	81711	242.5	0.5496
581	147120	81913	245.9	0.5101
582	144106	82113	245.2	0.5477
583	141092	82315	247.0	0.5589
584	153358	84561	189.5	0.5332
585	150342	84762	222.1	0.3676
586	147327	84964	218.3	0.2829
587	144312	85166	245.0	0.3428
588	141298	85366	221.9	0.3247
589	153565	87612	232.0	0.094
590	150548	87815	252.6	0.2102
591	147532	88016	245.0	0.2608
592	144517	88217	251.8	0.0302
593	141501	88420	245.2	0.1982
594	153767	90666	239.0	0.1295
595	150751	90866	256.7	0.16
596	147734	91069	260.0	0.4743
597	144718	91271	245.2	0.3874
598	141700	91470	234.0	0.2951
599	152535	72350	339.7	0.1624
600	149518	72552	325.4	0.3885
601	146506	72753	316.2	0.245
602	143494	72955	304.8	0.3948
603	140479	73156	287.3	0.5395
604	152738	75403	315.0	0.1106
605	149724	75606	316.8	0.1292
606	146711	75808	309.3	0.3711
607	143695	76009	299.9	0.3242
608	140678	76210	285.7	0.431
609	169056	92703	184.7	0.1083
610	166042	92907	200.1	0.3738
611	163022	93110	232.9	0.2754
612	160006	93312	213.1	0.341
613	156991	93515	255.9	0.0813
614	169261	95756	217.9	0.5061
615	166246	95958	237.0	0.4633
616	163228	96161	236.8	0.4754
617	160212	96366	255.9	0.553
618	157197	96565	248.1	0.5452
619	169465	98808	264.5	0.3498
620	166450	99010	282.7	0.4877
621	163434	99214	274.9	0.5221
622	160416	99416	261.2	0.481
623	157399	99619	265.8	0.4109
624	168023	77444	355.4	0.0651
625	165005	77648	354.2	0.0281
626	161991	77851	325.1	0
627	158979	78052	309.1	0.0154
628	155962	78255	291.7	0.0939
629	168231	80496	322.4	0.1213
630	165214	80699	305.4	0
631	162198	80902	296.6	0.0816
632	159185	81105	239.6	0.4439
633	156169	81306	248.8	0.5664
634	168438	83548	241.4	0.1788
635	165422	83751	226.7	0.1951
636	162406	83954	199.3	0.4388
637	159391	84156	201.4	0.615
638	156374	84358	193.1	0.4955
