ID	X	Y	ALT	BETA
1	22500.000000	199500.000000	0.0	0.059747
2	22500.000000	198500.000000	0.0	0.175334
3	22500.000000	197500.000000	3.1	0.212242
4	23500.000000	200500.000000	0.0	0.080799
5	23500.000000	199500.000000	0.0	0.135272
6	23500.000000	198500.000000	0.0	0.232333
7	23500.000000	197500.000000	2.8	0.218003
8	23500.000000	196500.000000	7.2	0.304967
9	23500.000000	195500.000000	0.8	0.356660
10	23500.000000	194500.000000	2.9	0.365811
11	23500.000000	193500.000000	0.2	0.417973
12	23500.000000	192500.000000	-0.7	0.428402
13	23500.000000	190500.000000	-0.5	0.422035
14	24500.000000	200500.000000	0.0	0.144156
15	24500.000000	199500.000000	0.0	0.234820
16	24500.000000	198500.000000	0.5	0.311827
17	24500.000000	197500.000000	4.3	0.283420
18	24500.000000	196500.000000	4.8	0.361626
19	24500.000000	195500.000000	0.1	0.374705
20	24500.000000	194500.000000	3.0	0.381409
21	24500.000000	193500.000000	0.1	0.419253
22	24500.000000	192500.000000	-0.8	0.419282
23	24500.000000	191500.000000	-0.7	0.411861
24	24500.000000	190500.000000	-0.8	0.410679
25	24500.000000	189500.000000	-0.7	0.412292
26	24500.000000	188500.000000	0.0	0.430187
27	24500.000000	180500.000000	12.8	0.421136
28	25500.000000	201500.000000	0.0	0.201716
29	25500.000000	200500.000000	0.0	0.235259
30	25500.000000	199500.000000	0.0	0.328420
31	25500.000000	198500.000000	4.4	0.366095
32	25500.000000	197500.000000	6.7	0.333073
33	25500.000000	196500.000000	3.0	0.396095
34	25500.000000	195500.000000	0.5	0.393107
35	25500.000000	194500.000000	3.1	0.400774
36	25500.000000	193500.000000	-0.4	0.418225
37	25500.000000	192500.000000	-0.5	0.412071
38	25500.000000	191500.000000	-1.0	0.404407
39	25500.000000	190500.000000	-0.8	0.401476
40	25500.000000	189500.000000	-0.7	0.404069
41	25500.000000	188500.000000	0.9	0.427909
42	25500.000000	181500.000000	16.0	0.423083
43	25500.000000	180500.000000	13.3	0.419683
44	25500.000000	179500.000000	12.6	0.415233
45	25500.000000	178500.000000	11.9	0.412423
46	25500.000000	177500.000000	6.4	0.414962
47	25500.000000	176500.000000	5.7	0.416779
48	25500.000000	175500.000000	11.8	0.419934
49	25500.000000	173500.000000	15.5	0.423389
50	25500.000000	172500.000000	22.4	0.423981
51	26500.000000	201500.000000	0.0	0.279842
52	26500.000000	200500.000000	0.0	0.332652
53	26500.000000	199500.000000	0.8	0.398211
54	26500.000000	198500.000000	8.5	0.412754
55	26500.000000	197500.000000	10.0	0.381822
56	26500.000000	196500.000000	2.5	0.422315
57	26500.000000	195500.000000	1.8	0.405176
58	26500.000000	194500.000000	0.2	0.409948
59	26500.000000	193500.000000	-0.7	0.412184
60	26500.000000	192500.000000	-0.4	0.403936
61	26500.000000	191500.000000	-0.8	0.397123
62	26500.000000	190500.000000	-0.3	0.395073
63	26500.000000	189500.000000	0.1	0.401088
64	26500.000000	188500.000000	0.2	0.424111
65	26500.000000	187500.000000	0.3	0.435815
66	26500.000000	186500.000000	1.7	0.437845
67	26500.000000	185500.000000	8.9	0.438214
68	26500.000000	182500.000000	13.6	0.419181
69	26500.000000	181500.000000	15.1	0.411292
70	26500.000000	180500.000000	11.5	0.409664
71	26500.000000	179500.000000	14.1	0.405015
72	26500.000000	178500.000000	8.9	0.405265
73	26500.000000	177500.000000	5.0	0.409157
74	26500.000000	176500.000000	6.9	0.409055
75	26500.000000	175500.000000	11.8	0.411447
76	26500.000000	174500.000000	13.7	0.416431
77	26500.000000	173500.000000	14.9	0.417218
78	26500.000000	172500.000000	13.6	0.419610
79	26500.000000	171500.000000	18.3	0.425397
80	27500.000000	202500.000000	0.0	0.238148
81	27500.000000	201500.000000	0.0	0.348343
82	27500.000000	200500.000000	0.0	0.413838
83	27500.000000	199500.000000	4.9	0.444882
84	27500.000000	198500.000000	9.1	0.439026
85	27500.000000	197500.000000	10.4	0.421931
86	27500.000000	196500.000000	2.0	0.433508
87	27500.000000	195500.000000	1.8	0.407394
88	27500.000000	194500.000000	-0.1	0.408278
89	27500.000000	193500.000000	-0.7	0.401921
90	27500.000000	192500.000000	-0.7	0.392738
91	27500.000000	191500.000000	-0.7	0.388377
92	27500.000000	190500.000000	-0.1	0.386407
93	27500.000000	189500.000000	1.1	0.398015
94	27500.000000	188500.000000	1.7	0.407573
95	27500.000000	187500.000000	2.8	0.409815
96	27500.000000	186500.000000	2.7	0.411495
97	27500.000000	185500.000000	7.9	0.411670
98	27500.000000	184500.000000	10.0	0.405920
99	27500.000000	183500.000000	13.7	0.405743
100	27500.000000	182500.000000	13.8	0.402102
101	27500.000000	181500.000000	12.4	0.392656
102	27500.000000	180500.000000	10.2	0.391915
