ID	STATCODE	XLAMB	YLAMB	ALT	TYPE	BETA
1	40AL02	140660	221640	0.2	0	0.678817
2	40AL03	138320	216020	1.1	0	0.762210
3	40AL04	144738	220093	2.5	0	1.080719
4	40AL05	143727	217029	8.3	0	1.011210
5	40ML01	156569	189536	9.9	2	0.694404
6	40R833	149548	224206	1.7	0	0.737260
7	40SA04	152448	222679	4.0	0	0.523458
8	40SZ01	159524	178259	25.2	2	0.617824
9	41B011	144338	171963	62.1	3	0.696947
10	41MEU1	151686	176084	34.0	3	0.875541
11	41N043	151000	174800	14.6	5	0.865162
12	41R001	147540	171030	23.2	3	1.044991
13	41R012	149280	165130	99.3	2	0.663250
14	42N045	220258	181520	34.1	2	0.649873
15	42R801	154407	211080	7.3	3	1.083773
16	42R802	154390	211050	7.5	0	1.082045
17	42R833	149547	224206	1.7	0	0.737475
18	42R841	157059	188039	6.5	2	0.637507
19	43H201	233400	146700	163.6	3	0.716464
20	43M204	237930	145320	67.0	0	0.661956
21	43N060	85521	145512	25.2	1	0.466343
22	43N063	171200	149460	140.2	1	0.461319
23	43N066	265570	147740	284.9	1	0.503118
24	43N067	264933	145881	232.0	1	0.288086
25	43N070	119540	128350	32.0	3	0.676332
26	43N073	193960	132620	164.7	1	0.508134
27	43N085	266325	111525	501.4	1	0.073832
28	43N093	211760	107410	254.7	1	0.221343
29	43N100	166170	87160	212.4	1	0.236020
30	43N113	237720	80250	501.6	1	0.269097
31	43N121	209920	63190	426.8	1	0.248420
32	43N132	240980	46070	379.9	1	0.314579
33	43R201	235350	147130	67.2	3	0.744105
34	43R221	239030	150490	59.6	3	0.710623
35	43R222	235031	145438	83.6	4	0.726364
36	43R223	231130	146160	75.6	3	0.776790
37	43R240	222850	141940	119.8	4	0.603244
38	44N029	24655	191071	-0.2	1	0.406936
39	44R701	105169	194435	9.8	3	0.949326
40	44R731	105947	201811	4.8	4	0.732933
41	45R501	155930	122050	127.7	3	0.807664
42	45R502	156390	124240	133.5	3	0.722708
43	45R510	160830	122850	112.4	3	0.730598
44	45R511	153980	118520	155.5	3	0.568752
45	45R512	151930	121880	102.5	4	0.790895
