ID	LAMBX	LAMBY	ALT	BETA
186	198671	38576	161.2	0.327399
187	210928	40804	242.9	0.155129
188	207915	41010	215.7	0.291033
189	204902	41217	201.8	0.313653
190	201890	41422	186.2	0.285588
191	198879	41628	192.5	0.371906
192	227254	58069	443.3	0.32638
193	224243	58276	406.5	0.263666
194	221232	58482	398.2	0.215899
195	218218	58691	397.1	0.311137
196	215202	58897	416.5	0.306865
197	227469	61122	428.9	0.324809
198	224455	61330	428.6	0.252832
199	221443	61537	413.5	0.184973
200	218429	61743	443.2	0.122499
201	215415	61951	435.8	0.270164
202	227684	64175	470.3	0.206072
203	224671	64383	464.5	0.218952
204	221657	64590	452.2	0.19663
205	218642	64798	472.0	0.114178
206	215626	65004	469.6	0.0139557
207	227893	67231	502.4	0.235907
208	224878	67437	499.2	0.28462
209	221864	67645	483.8	0.503886
210	218849	67851	478.1	0.116152
211	215835	68059	445.1	0.227305
212	228104	70284	492.8	0.206018
213	225088	70491	518.2	0.0874039
214	222074	70699	523.7	0.0105001
215	219060	70906	463.7	0.0142051
216	216046	71113	478.0	0.0689523
217	226198	42820	335.1	0.3544
218	223187	43027	333.4	0.314677
219	220175	43234	331.5	0.297417
220	217161	43442	336.1	0.30817
221	214148	43648	327.3	0.223104
222	226411	45870	359.1	0.162422
223	223397	46076	352.8	0.105333
224	220385	46284	341.7	0.224841
225	217371	46490	334.0	0.123187
226	214360	46698	317.5	0.176246
227	226626	48918	409.6	0.0115121
228	223611	49126	395.0	0.0464089
229	220600	49332	392.0	0.0259092
230	217589	49540	402.6	0
231	214576	49747	360.3	0.0177285
232	226834	51967	416.1	0.0147706
233	223821	52175	383.6	0.0823616
234	220810	52383	405.2	0.0251479
235	217797	52589	418.8	0.00249874
236	214784	52795	383.0	0.0102796
237	227042	55017	421.7	0.116042
238	224032	55224	409.5	0.125485
239	221020	55431	385.1	0.199132
240	218005	55639	414.8	0.169598
241	214991	55846	393.0	0.00387625
242	225140	27563	256.9	0.282778
243	222129	27770	236.7	0.292387
244	219117	27977	312.2	0.190111
245	216105	28185	281.7	0.245462
246	213094	28391	201.0	0.304408
247	225352	30614	259.6	0.247852
248	222341	30822	257.6	0.222095
249	219330	31029	262.3	0.285186
250	216318	31236	203.7	0.316924
251	213307	31442	177.6	0.301998
252	225568	33666	273.6	0.211276
253	222557	33873	263.2	0.18747
254	219544	34081	222.7	0.279407
255	216533	34286	219.4	0.303928
256	213524	34494	228.9	0.210638
257	225778	36718	300.7	0.0165739
258	222766	36924	289.5	0.0226127
259	219752	37133	258.3	0.0613188
260	216741	37339	269.3	0.250001
261	213733	37546	253.0	0.285159
262	225986	39769	354.4	0.104233
263	222976	39977	325.5	0.0366628
264	219963	40183	324.3	0.064747
265	216950	40391	324.9	0.0952717
266	213940	40597	286.9	0.0777755
267	243390	72295	497.2	0.277507
268	240378	72503	503.5	0.231956
269	237361	72712	492.5	0.279111
270	234346	72920	505.2	0.0806955
271	242325	57027	488.7	8.08565e-07
272	239310	57237	481.2	0
273	236298	57445	458.5	0.139386
274	233284	57652	451.5	0.223752
275	230269	57861	456.4	0.313132
276	242540	60080	451.0	0.122309
277	239523	60290	470.0	0.134448
278	236510	60498	479.7	0.164503
279	233498	60706	477.0	0.3295
280	230485	60914	466.8	0.31253
281	242753	63135	444.2	0.172308
282	239737	63343	440.2	0.217638
283	236724	63552	453.1	0.248827
284	233713	63759	469.5	0.231881
285	230699	63969	469.1	0.251382
286	242964	66187	458.7	0.179912
287	239950	66397	453.2	0.23598
288	236936	66606	452.6	0.29561
289	233921	66815	481.2	0.259411
290	230906	67021	517.9	0.100131
291	243175	69242	479.2	0.233222
292	240163	69451	465.2	0.242984
293	237147	69659	488.5	0.241544
294	234130	69867	519.2	0.0366147
295	231118	70076	496.1	0.228774
296	241261	41779	346.5	0.259957
297	238249	41987	342.1	0.278194
298	235234	42195	337.4	0.295924
299	232222	42405	341.9	0.309162
300	229210	42611	350.0	0.254582
301	241473	44828	368.2	0.278895
302	238463	45036	360.1	0.291845
303	235449	45245	352.2	0.335798
304	232436	45453	349.9	0.260324
305	229424	45661	348.3	0.226934
306	241687	47878	411.3	0.244623
307	238677	48085	402.1	0.155411
308	235665	48294	410.1	0.0758922
309	232651	48502	413.4	0.0304587
310	229640	48710	419.4	0.00116593
311	241895	50927	456.2	0.0671448
312	238884	51136	444.5	0.120725
313	235874	51343	442.5	0.142712
314	232862	51552	419.5	0.155321
315	229849	51761	431.7	0.091856
316	242108	53976	459.2	0.206385
317	239096	54185	447.9	0.149476
318	236088	54393	446.1	0.223073
319	233074	54602	417.4	0.284813
320	230057	54809	426.4	0.265729
321	240196	26522	244.2	0.292239
322	237185	26731	267.5	0.39439
323	234173	26939	244.6	0.319723
324	231160	27147	228.9	0.415183
325	228150	27355	280.2	0.22936
326	240410	29574	267.8	0.263998
327	237398	29782	245.4	0.308253
328	234385	29991	246.6	0.39079
329	231372	30199	248.4	0.314506
330	228361	30407	271.1	0.289544
331	240626	32625	280.5	0.0456168
332	237612	32834	289.7	0.0875765
333	234602	33041	307.0	0.0355795
334	231591	33250	279.6	0.150132
335	228578	33458	297.5	0.160109
336	240837	35677	325.9	0.00460768
337	237823	35885	332.8	0.0434524
338	234812	36095	337.6	0.0232574
339	231802	36302	328.8	0.0210441
340	228789	36509	327.8	0.0299566
341	241049	38728	352.0	0.037917
342	238037	38937	347.5	0.220614
343	235022	39146	352.1	0.109613
344	232010	39353	361.6	0.226576
345	228999	39562	352.7	0.181813
346	239134	11254	268.1	0.237587
347	236125	11462	248.0	0.364153
348	233112	11671	232.3	0.31451
349	230101	11880	255.5	0.193589
350	227093	12087	230.0	0.265414
351	239345	14308	264.6	0.414631
352	236336	14517	267.4	0.223056
353	233325	14724	268.9	0.314023
354	230314	14933	234.5	0.371476
355	227304	15141	255.6	0.367559
356	239559	17362	291.1	0.302091
357	236549	17571	275.5	0.277244
358	233537	17779	274.2	0.281378
