ID	LAMBX	LAMBY	ALT	BETA
187	210928	40804	242.9	0.230179
188	207915	41010	215.7	0.345724
189	204902	41217	201.8	0.354278
190	201890	41422	186.2	0.327326
191	198879	41628	192.5	0.638598
192	227254	58069	443.3	0.360807
193	224243	58276	406.5	0.416865
194	221232	58482	398.2	0.343083
195	218218	58691	397.1	0.455353
196	215202	58897	416.5	0.347319
197	227469	61122	428.9	0.471842
198	224455	61330	428.6	0.419066
199	221443	61537	413.5	0.301808
200	218429	61743	443.2	0.219473
201	215415	61951	435.8	0.329758
202	227684	64175	470.3	0.33929
203	224671	64383	464.5	0.343118
204	221657	64590	452.2	0.310123
205	218642	64798	472.0	0.186001
206	215626	65004	469.6	0.0267676
207	227893	67231	502.4	0.374995
208	224878	67437	499.2	0.428272
209	221864	67645	483.8	0.517989
210	218849	67851	478.1	0.193415
211	215835	68059	445.1	0.343351
212	228104	70284	492.8	0.348208
213	225088	70491	518.2	0.151725
214	222074	70699	523.7	0.0202017
215	219060	70906	463.7	0.0272836
216	216046	71113	478.0	0.104276
217	226198	42820	335.1	0.48664
218	223187	43027	333.4	0.46188
219	220175	43234	331.5	0.455633
220	217161	43442	336.1	0.355165
221	214148	43648	327.3	0.253798
222	226411	45870	359.1	0.179224
223	223397	46076	352.8	0.176019
224	220385	46284	341.7	0.344458
225	217371	46490	334.0	0.208645
226	214360	46698	317.5	0.278615
227	226626	48918	409.6	0.0221384
228	223611	49126	395.0	0.0806426
229	220600	49332	392.0	0.0259092
230	217589	49540	402.6	0
231	214576	49747	360.3	0.0339963
232	226834	51967	416.1	0.0283624
233	223821	52175	383.6	0.135847
234	220810	52383	405.2	0.048062
235	217797	52589	418.8	0.00482529
236	214784	52795	383.0	0.0197795
237	227042	55017	421.7	0.141161
238	224032	55224	409.5	0.208071
239	221020	55431	385.1	0.354871
240	218005	55639	414.8	0.277217
241	214991	55846	393.0	0.00748058
242	225140	27563	256.9	0.356706
243	222129	27770	236.7	0.359205
244	219117	27977	312.2	0.165019
245	216105	28185	281.7	0.320964
246	213094	28391	201.0	0.444439
247	225352	30614	259.6	0.20202
248	222341	30822	257.6	0.308131
249	219330	31029	262.3	0.36752
250	216318	31236	203.7	0.417248
251	213307	31442	177.6	0.416892
252	225568	33666	273.6	0.295026
253	222557	33873	263.2	0.212571
254	219544	34081	222.7	0.336004
255	216533	34286	219.4	0.366939
256	213524	34494	228.9	0.366695
257	225778	36718	300.7	0.0289489
258	222766	36924	289.5	0.0432663
259	219752	37133	258.3	0.0874532
260	216741	37339	269.3	0.291833
261	213733	37546	253.0	0.431535
262	225986	39769	354.4	0.0399514
263	222976	39977	325.5	0.0680877
264	219963	40183	324.3	0.0899281
265	216950	40391	324.9	0.141859
266	213940	40597	286.9	0.088913
267	243390	72295	497.2	0.383893
268	240378	72503	503.5	0.354836
269	237361	72712	492.5	0.386773
270	234346	72920	505.2	0.150555
271	242325	57027	488.7	1.56323e-06
272	239310	57237	481.2	0
273	236298	57445	458.5	0.20297
274	233284	57652	451.5	0.221646
275	230269	57861	456.4	0.401529
276	242540	60080	451.0	0.188632
277	239523	60290	470.0	0.245465
278	236510	60498	479.7	0.296909
279	233498	60706	477.0	0.370142
280	230485	60914	466.8	0.313086
281	242753	63135	444.2	0.28648
282	239737	63343	440.2	0.384992
283	236724	63552	453.1	0.416834
284	233713	63759	469.5	0.345469
285	230699	63969	469.1	0.360431
286	242964	66187	458.7	0.321259
287	239950	66397	453.2	0.310589
288	236936	66606	452.6	0.449972
289	233921	66815	481.2	0.414063
290	230906	67021	517.9	0.185326
291	243175	69242	479.2	0.392909
292	240163	69451	465.2	0.395084
293	237147	69659	488.5	0.394765
294	234130	69867	519.2	0.0696196
295	231118	70076	496.1	0.386161
296	241261	41779	346.5	0.411367
297	238249	41987	342.1	0.402976
298	235234	42195	337.4	0.386224
299	232222	42405	341.9	0.390417
300	229210	42611	350.0	0.346468
301	241473	44828	368.2	0.343934
302	238463	45036	360.1	0.443389
303	235449	45245	352.2	0.45941
304	232436	45453	349.9	0.396814
305	229424	45661	348.3	0.315301
306	241687	47878	411.3	0.293571
307	238677	48085	402.1	0.188781
308	235665	48294	410.1	0.0859899
309	232651	48502	413.4	0.0323306
310	229640	48710	419.4	0.000264104
311	241895	50927	456.2	0.0897268
312	238884	51136	444.5	0.152692
313	235874	51343	442.5	0.142058
314	232862	51552	419.5	0.191147
315	229849	51761	431.7	0.151254
316	242108	53976	459.2	0.258814
317	239096	54185	447.9	0.218908
318	236088	54393	446.1	0.289211
319	233074	54602	417.4	0.332529
320	230057	54809	426.4	0.318652
321	240196	26522	244.2	0.381467
322	237185	26731	267.5	0.319571
323	234173	26939	244.6	0.39602
324	231160	27147	228.9	0.367047
325	228150	27355	280.2	0.293692
326	240410	29574	267.8	0.332408
327	237398	29782	245.4	0.35903
328	234385	29991	246.6	0.378291
329	231372	30199	248.4	0.331273
330	228361	30407	271.1	0.247505
331	240626	32625	280.5	0.061717
332	237612	32834	289.7	0.0679803
333	234602	33041	307.0	0.0400788
334	231591	33250	279.6	0.174327
335	228578	33458	297.5	0.239103
336	240837	35677	325.9	0.0088891
337	237823	35885	332.8	0.0106177
338	234812	36095	337.6	0.0444869
339	231802	36302	328.8	0.0363803
340	228789	36509	327.8	0.0571289
341	241049	38728	352.0	0.0664653
342	238037	38937	347.5	0.191184
343	235022	39146	352.1	0.135659
344	232010	39353	361.6	0.213186
345	228999	39562	352.7	0.181737
346	239134	11254	268.1	0.114784
347	236125	11462	248.0	0.259728
348	233112	11671	232.3	0.295157
349	230101	11880	255.5	0.105103
350	227093	12087	230.0	0.301417
351	239345	14308	264.6	0.322822
352	236336	14517	267.4	0.151014
353	233325	14724	268.9	0.180879
354	230314	14933	234.5	0.233628
355	227304	15141	255.6	0.259693
356	239559	17362	291.1	0.136774
357	236549	17571	275.5	0.163829
358	233537	17779	274.2	0.123745
359	230529	17986	251.5	0.128223
360	227520	18195	275.6	0.14761
361	239772	20416	357.2	0.0897745
362	236762	20623	329.9	0.0573403
363	233750	20833	279.7	0.107505
364	230741	21041	248.4	0.213131
365	227732	21248	248.4	0.131549
366	239985	23469	352.6	0.157603
367	236975	23678	362.7	0.158133
368	233964	23886	346.8	0.0452691
369	230952	24095	257.0	0.301473
370	227941	24302	239.2	0.307497
371	258461	71247	465.3	0.139754
372	255446	71458	434.7	0.100328
373	252433	71667	475.3	0.334865
374	249420	71876	491.9	0.244564
375	246404	72086	497.7	0.278385
376	257389	55981	415.7	0.348107
377	254376	56190	456.5	0.250769
378	251362	56400	448.2	0.279371
379	248350	56609	466.8	0.0866101
380	245339	56818	483.1	0
381	257605	59034	477.6	0.349809
382	254591	59244	484.2	0.194206
383	251578	59453	477.8	0.250798
384	248564	59664	418.4	0.299539
385	245552	59872	423.9	0.213393
386	257821	62088	473.4	0.15689
387	254805	62297	421.6	0.267576
388	251793	62507	420.5	0.159621
389	248780	62716	427.7	0.193322
390	245768	62926	441.5	0.253596
391	258034	65141	423.9	0.0891087
392	255017	65352	413.0	0.288562
393	252003	65561	414.3	0.357703
394	248992	65771	436.0	0.161233
395	245979	65979	449.1	0.333688
396	258247	68195	386.2	0.250241
397	255230	68404	402.9	0.142236
398	252216	68615	446.6	0.254421
399	249203	68824	443.7	0.252174
400	246188	69033	473.7	0.306005
401	256319	40733	360.8	0.357278
402	253309	40943	399.5	0.417037
403	250298	41152	384.5	0.121795
404	247285	41360	370.3	0.294478
405	244271	41570	350.2	0.512851
406	256535	43782	366.4	0.233474
407	253523	43991	386.0	0.443831
408	250510	44201	386.2	0.37384
409	247498	44411	364.1	0.393792
410	244485	44619	373.4	0.392512
411	256749	46830	337.3	0.288101
412	253738	47041	349.2	0.265743
413	250726	47250	345.6	0.286581
414	247712	47459	351.0	0.354314
415	244699	47668	414.1	0.0706546
416	256961	49880	296.6	0.339461
417	253950	50090	311.5	0.329948
418	250936	50299	337.4	0.303017
419	247922	50509	408.6	0.207338
420	244909	50718	452.9	2.22531e-06
421	257173	52929	323.4	0.299143
422	254162	53139	368.9	0.233443
423	251148	53348	415.3	0.121001
424	248135	53558	460.0	0.0317835
425	245123	53767	462.5	0
426	255248	25477	329.2	0.506364
427	252236	25687	314.0	0.471285
428	249227	25895	378.2	0.14295
429	246216	26105	320.1	0.253715
430	243205	26314	284.2	0.350797
431	255467	28527	279.4	0.526118
432	252452	28738	291.3	0.397069
433	249440	28947	283.8	0.404721
434	246432	29155	265.3	0.389693
435	243421	29365	264.3	0.364529
436	255685	31579	307.7	0.390434
437	252670	31788	334.6	0.249817
438	249657	31998	322.8	0.324568
439	246648	32208	308.8	0.255458
440	243638	32416	280.5	0.33868
441	255895	34630	333.9	0.320609
442	252883	34840	309.1	0.334062
443	249870	35051	354.0	0.248254
444	246859	35259	361.5	0.243767
445	243849	35469	315.3	0.123362
446	256105	37682	339.4	0.337554
447	253096	37891	340.0	0.318828
448	250085	38101	361.5	0.1576
449	247072	38311	362.4	0
450	244059	38519	351.4	0.134834
451	271380	39680	334.4	0.177482
452	268369	39891	314.5	0.334881
453	265356	40102	323.6	0.375728
454	262345	40312	320.4	0.33508
455	259333	40522	331.8	0.163914
456	271595	42730	353.4	0.257444
457	268584	42940	321.0	0.243497
458	265573	43150	329.8	0.0951747
459	262560	43361	331.0	0.170522
460	259548	43572	339.6	0.19828
461	271814	45778	317.8	0.183852
462	268801	45989	338.6	0.337097
463	265788	46200	338.1	0.262027
464	262774	46410	309.9	0.267423
465	259761	46620	344.6	0.22308
466	272025	48827	314.6	0.160648
467	269013	49038	311.7	0.323249
468	266000	49248	287.4	0.403906
469	262987	49460	284.0	0.425635
470	259972	49670	284.4	0.413482
471	272238	51877	271.6	0.419862
472	269227	52087	283.9	0.328189
473	266217	52299	276.3	0.387191
474	263204	52508	281.9	0.366423
475	260188	52720	304.9	0.431385
476	270302	24425	286.8	0.505455
477	267291	24635	291.5	0.773727
478	264281	24847	325.1	0.964469
479	261270	25056	315.3	1.19998
480	258259	25266	387.0	0.509508
481	270518	27476	317.9	0.328663
482	267507	27687	308.9	0.392897
483	264495	27897	318.9	0.32615
484	261484	28107	291.4	0.554861
485	258476	28318	302.1	0.649296
486	270737	30527	323.4	0.285795
487	267724	30738	330.0	0.373771
488	264713	30949	342.9	0.380256
489	261703	31159	326.8	0.440406
490	258694	31369	342.3	0.293624
491	270950	33579	296.0	0.471314
492	267939	33789	326.6	0.308071
493	264929	34000	339.1	0.349105
494	261917	34211	364.1	0.303693
495	258905	34421	343.0	0.317192
496	271165	36630	317.8	0.411529
497	268153	36842	309.3	0.403391
498	265142	37052	322.1	0.348352
499	262130	37261	321.2	0.357655
500	259117	37473	327.7	0.308402
501	108729	96722	146.7	0.303231
502	105715	96920	168.5	0.0083481
503	102697	97117	167.6	0.024352
504	99678	97317	155.1	0.214711
505	96663	97514	135.1	0.354538
506	108931	99773	144.5	0.378964
507	105913	99972	168.0	0.0601534
508	102898	100170	165.7	0.0346574
509	99880	100368	144.9	0.300688
510	96862	100567	126.3	0.234759
511	138889	94725	249.6	0.35081
512	135875	94925	228.9	0.468505
513	132861	95125	223.7	0.342017
514	129847	95325	206.0	0.445354
515	126831	95526	196.7	0.400362
516	139094	97777	235.8	0.328342
517	136079	97977	214.3	0.438085
518	133066	98177	215.8	0.181468
519	130051	98378	203.0	0.197084
520	127033	98578	180.9	0.273274
521	139299	100827	199.6	0.343731
522	136283	101031	210.5	0.385159
523	133268	101228	211.3	0.119104
524	137872	79464	269.1	0.179303
525	134858	79664	247.6	0.439985
526	131842	79866	247.2	0.291265
527	128827	80065	227.0	0.307816
528	125812	80265	199.6	0.418186
529	138076	82516	222.5	0.578982
530	135061	82717	214.5	0.707025
531	132045	82916	221.8	0.340043
532	129031	83117	197.1	0.65736
533	126017	83317	193.0	0.107014
534	138281	85568	199.2	0.277312
535	135264	85768	203.5	0.0111334
536	132248	85970	207.6	0
537	129232	86170	204.9	0.00700145
