ID	LAMBX	LAMBY	ALT	BETA
185	201682	38369	190.4	0.108537
186	198671	38576	161.2	0.128445
187	210928	40804	242.9	0.0339493
188	207915	41010	215.7	0.120167
189	204902	41217	201.8	0.0734081
190	201890	41422	186.2	0.11107
191	198879	41628	192.5	0.0980668
192	227254	58069	443.3	0.177599
193	224243	58276	406.5	0.0659685
194	221232	58482	398.2	0.058878
195	218218	58691	397.1	0.129357
196	215202	58897	416.5	0.257172
197	227469	61122	428.9	0.138834
198	224455	61330	428.6	0.0374501
199	221443	61537	413.5	0.0425021
200	218429	61743	443.2	0.00696985
201	215415	61951	435.8	0.148033
202	227684	64175	470.3	0.040399
203	224671	64383	464.5	0.0662122
204	221657	64590	452.2	0.0587825
205	218642	64798	472.0	0.0310308
206	215626	65004	469.6	1.68395e-05
207	227893	67231	502.4	0.0616911
208	224878	67437	499.2	0.103677
209	221864	67645	483.8	0.398634
210	218849	67851	478.1	0.0241274
211	215835	68059	445.1	0.0859302
212	228104	70284	492.8	0.0272372
213	225088	70491	518.2	0.0135637
214	222074	70699	523.7	0
215	219060	70906	463.7	0
216	216046	71113	478.0	0.029667
217	226198	42820	335.1	0.172062
218	223187	43027	333.4	0.126947
219	220175	43234	331.5	0.0785494
220	217161	43442	336.1	0.154719
221	214148	43648	327.3	0.0933693
222	226411	45870	359.1	0.0486904
223	223397	46076	352.8	0.00589743
224	220385	46284	341.7	0.0784947
225	217371	46490	334.0	0.0227158
226	214360	46698	317.5	0.0535216
227	226626	48918	409.6	0
228	223611	49126	395.0	0.0083808
229	220600	49332	392.0	0.0259092
230	217589	49540	402.6	0
231	214576	49747	360.3	0
232	226834	51967	416.1	0
233	223821	52175	383.6	0.0216921
234	220810	52383	405.2	0
235	217797	52589	418.8	0
236	214784	52795	383.0	0
237	227042	55017	421.7	0.0262785
238	224032	55224	409.5	0.0274468
239	221020	55431	385.1	0
240	218005	55639	414.8	0.0397878
241	214991	55846	393.0	0
242	225140	27563	256.9	0.0525091
243	222129	27770	236.7	0.0734749
244	219117	27977	312.2	0.0580756
245	216105	28185	281.7	0.0414226
246	213094	28391	201.0	0.0732969
247	225352	30614	259.6	0.0814613
248	222341	30822	257.6	0.0387502
249	219330	31029	262.3	0.0501524
250	216318	31236	203.7	0.0946473
251	213307	31442	177.6	0.0594693
252	225568	33666	273.6	0.0556637
253	222557	33873	263.2	0.042025
254	219544	34081	222.7	0.0910715
255	216533	34286	219.4	0.0733084
256	213524	34494	228.9	0.00608588
257	225778	36718	300.7	0.00314277
258	222766	36924	289.5	0
259	219752	37133	258.3	0.00815585
260	216741	37339	269.3	0.0559699
261	213733	37546	253.0	0.0449432
262	225986	39769	354.4	0.0445266
263	222976	39977	325.5	0.000460844
264	219963	40183	324.3	0.0140804
265	216950	40391	324.9	0.0107757
266	213940	40597	286.9	0.016675
267	243390	72295	497.2	0.054718
268	240378	72503	503.5	0.075178
269	237361	72712	492.5	0.0776284
270	234346	72920	505.2	0
271	242325	57027	488.7	0
272	239310	57237	481.2	0
273	236298	57445	458.5	0.0366844
274	233284	57652	451.5	0.190851
275	230269	57861	456.4	0.079166
276	242540	60080	451.0	0.046
277	239523	60290	470.0	0
278	236510	60498	479.7	0
279	233498	60706	477.0	0.258373
280	230485	60914	466.8	0.255739
281	242753	63135	444.2	0.0335238
282	239737	63343	440.2	0.000122793
283	236724	63552	453.1	0.0306568
284	233713	63759	469.5	0.0923293
285	230699	63969	469.1	0.117893
286	242964	66187	458.7	0.00237681
287	239950	66397	453.2	0.0906676
288	236936	66606	452.6	0.0980556
289	233921	66815	481.2	0.0619385
290	230906	67021	517.9	0
291	243175	69242	479.2	0.0280288
292	240163	69451	465.2	0.0493846
293	237147	69659	488.5	0.0462457
294	234130	69867	519.2	0
295	231118	70076	496.1	0.0271186
296	241261	41779	346.5	0.0330105
297	238249	41987	342.1	0.09277
298	235234	42195	337.4	0.109603
299	232222	42405	341.9	0.137884
300	229210	42611	350.0	0.0537778
301	241473	44828	368.2	0.0872552
